CompanyName,CEO,WorkPhone,AnnualRevenue
REDACTED LLC,Mary Cook,1-946-699-5732,₹1286500000
REDACTED ,Jennifer Moore,1-295-870-6207,₹2954800000
REDACTED Ltd,David Davis,1-493-346-7113,₹2083300000
REDACTED Inc,Jennifer Davis,1-900-963-3577,₹3303400000
REDACTED ,Joseph Garcia,1-529-265-4934,₹2855200000
REDACTED Corp,James Martinez,1-393-473-4762,₹796800000
REDACTED Corp,Karen Musk,1-994-288-6597,₹1477400000
REDACTED Inc,William Brown,1-587-543-9319,₹2689200000
REDACTED Corp,Jessica Davis,1-948-321-1421,₹1402700000
REDACTED ,John Martin,1-234-418-3537,₹2257600000
