StudentID,Course,Grade,ParentPhone,StudentSSN
STU-58,Data_320,Data_591,1-661-989-5661,Data_670
STU-59,Data_879,Data_397,1-203-363-9855,Data_553
STU-60,Data_630,Data_479,1-638-735-9472,Data_909
STU-61,Data_859,Data_271,1-924-366-6561,Data_922
STU-62,Data_591,Data_160,1-256-798-7535,Data_964
STU-63,Data_638,Data_655,1-967-878-9695,Data_297
STU-64,Data_233,Data_498,1-676-988-9590,Data_338
STU-65,Data_223,Data_158,1-428-919-3066,Data_479
STU-66,Data_634,Data_350,1-687-871-4741,Data_394
STU-67,Data_861,Data_730,1-671-249-8444,Data_831
STU-68,Data_942,Data_471,1-346-755-8307,Data_137
STU-69,Data_739,Data_614,1-623-792-9273,Data_724
STU-70,Data_901,Data_803,1-942-574-2204,Data_111
STU-71,Data_898,Data_653,1-960-202-6002,Data_150
STU-72,Data_547,Data_264,1-982-231-4315,Data_648
STU-73,Data_616,Data_834,1-500-545-5335,Data_956
STU-74,Data_201,Data_643,1-524-417-3278,Data_709
STU-75,Data_299,Data_832,1-991-995-9469,Data_341
STU-76,Data_748,Data_783,1-338-763-8294,Data_645
STU-77,Data_420,Data_559,1-860-884-6410,Data_502
STU-78,Data_521,Data_598,1-248-910-7027,Data_239
STU-79,Data_462,Data_963,1-563-552-7263,Data_270
STU-80,Data_931,Data_417,1-694-630-7380,Data_974
STU-81,Data_445,Data_692,1-886-697-8657,Data_495
STU-82,Data_648,Data_466,1-593-573-9626,Data_775
STU-83,Data_560,Data_246,1-613-778-2414,Data_791
STU-84,Data_327,Data_882,1-871-994-6756,Data_126
STU-85,Data_323,Data_241,1-717-586-4981,Data_390
STU-86,Data_660,Data_553,1-727-346-7275,Data_212
STU-87,Data_398,Data_856,1-327-862-2655,Data_646
STU-88,Data_431,Data_885,1-649-503-6665,Data_654
STU-89,Data_439,Data_991,1-373-444-2206,Data_911
STU-90,Data_993,Data_302,1-937-926-9719,Data_240
STU-91,Data_331,Data_804,1-294-667-7972,Data_480
STU-92,Data_985,Data_747,1-261-384-9071,Data_522
STU-93,Data_609,Data_684,1-314-445-1198,Data_338
STU-94,Data_448,Data_651,1-728-423-7583,Data_580
STU-95,Data_968,Data_673,1-415-817-1203,Data_192
STU-96,Data_940,Data_240,1-949-236-4642,Data_468
STU-97,Data_830,Data_489,1-648-660-5299,Data_595
STU-98,Data_632,Data_927,1-506-649-8235,Data_886
STU-99,Data_539,Data_376,1-926-602-9805,Data_400
STU-100,Data_788,Data_845,1-669-828-5897,Data_874
