CompanyName,CEO,WorkPhone,AnnualRevenue
NexusCore ,Linda,1-436-868-8965,₹1186900000
NexusCore ,Elizabeth,1-964-400-2761,₹614200000
EduGlobal ,Thomas,1-904-929-7931,₹2863500000
FinTech Corp,Thomas,1-744-429-2637,₹3975700000
FinTech Corp,Michael,1-841-837-5420,₹2290800000
QuantumNet LLC,Mary,1-850-887-8252,₹2033500000
NexusCore Corp,Jessica,1-985-534-1161,₹2647700000
AeroSpace Corp,Barbara,1-508-794-4687,₹3004600000
AutoMotive LLC,Elizabeth,1-866-262-3889,₹3427900000
FinTech LLC,Mary,1-946-699-5732,₹1286500000
TechCorp ,Jennifer,1-295-870-6207,₹2954800000
NexusCore Ltd,David,1-493-346-7113,₹2083300000
BioGen Inc,Jennifer,1-900-963-3577,₹3303400000
EcoGreen ,Joseph,1-529-265-4934,₹2855200000
EduGlobal Corp,James,1-393-473-4762,₹796800000
TechCorp Corp,Karen,1-994-288-6597,₹1477400000
FinTech Inc,William,1-587-543-9319,₹2689200000
FinanceHub Corp,Jessica,1-948-321-1421,₹1402700000
EcoGreen ,John,1-234-418-3537,₹2257600000
