TicketID,CustomerEmail,IssueDescription,AssignedTo
TCK-18,patricia.gonzalez539@enterprise.com,Data_845,Data_435
TCK-54,james.dimon780@company.net,Data_159,Data_211
TCK-68,mary.rodriguez389@business.org,Data_592,Data_664
TCK-64,sarah.moore132@startup.io,Data_832,Data_686
TCK-78,robert.musk769@enterprise.com,Data_681,Data_116
TCK-3,tim.davis109@enterprise.com,Data_484,Data_728
TCK-58,elon.taylor128@startup.io,Data_494,Data_756
TCK-10,jamie.miller948@startup.io,Data_693,Data_485
TCK-13,richard.davis783@enterprise.com,Data_766,Data_346
TCK-31,barbara.lopez202@company.net,Data_726,Data_248
TCK-7,thomas.miller189@business.org,Data_263,Data_841
TCK-39,charles.anderson128@tech.co,Data_931,Data_693
TCK-91,james.wilson148@tech.co,Data_997,Data_381
TCK-75,elizabeth.brown600@tech.co,Data_940,Data_809
TCK-41,sarah.smith111@company.net,Data_883,Data_356
TCK-27,charles.musk21@global.net,Data_491,Data_498
TCK-80,karen.lopez662@enterprise.com,Data_255,Data_390
TCK-95,susan.dimon927@tech.co,Data_263,Data_153
TCK-52,michael.martinez112@example.com,Data_944,Data_677
TCK-49,jennifer.lopez360@enterprise.com,Data_459,Data_452
TCK-2,robert.wilson422@startup.io,Data_446,Data_828
TCK-34,susan.smith722@tech.co,Data_338,Data_939
TCK-43,jessica.davis369@business.org,Data_854,Data_764
TCK-42,elizabeth.thomas735@startup.io,Data_954,Data_277
TCK-26,joseph.miller270@company.net,Data_412,Data_399
TCK-97,jennifer.garcia830@startup.io,Data_670,Data_330
TCK-66,charles.brown794@enterprise.com,Data_449,Data_589
TCK-73,john.garcia165@company.net,Data_745,Data_759
TCK-36,jessica.smith121@startup.io,Data_310,Data_819
TCK-77,barbara.thomas182@tech.co,Data_268,Data_765
