CompanyName,CEO,WorkPhone,AnnualRevenue
corporation Ltd,Jeff Anderson,1-591-274-8386,₹830000000
corporation Ltd,Thomas Jones,1-449-915-7203,₹1709800000
corporation Inc,Karen Jackson,1-946-624-2689,₹3967400000
corporation Inc,Elon Taylor,1-898-319-6545,₹3253600000
corporation Inc,Tim Smith,1-284-976-8101,₹3129100000
corporation ,Joseph Musk,1-873-444-4524,₹2407000000
corporation LLC,Susan Smith,1-398-622-5693,₹796800000
corporation LLC,Elon Dimon,1-389-473-2065,₹1494000000
corporation Ltd,Susan Johnson,1-964-360-3986,₹2739000000
corporation ,Mary Smith,1-367-499-9942,₹2863500000
corporation Inc,David Martin,1-820-217-8583,₹2672600000
corporation LLC,Joseph Brown,1-206-989-5640,₹514600000
corporation Corp,Jeff Gonzalez,1-934-521-5336,₹2631100000
corporation Ltd,Jessica Brown,1-612-384-8877,₹1743000000
corporation ,Jamie Jackson,1-526-659-5036,₹929600000
corporation ,Mary Hernandez,1-700-354-9013,₹2689200000
corporation Inc,Jessica Lopez,1-555-286-3043,₹2656000000
corporation LLC,Richard Johnson,1-613-439-8915,₹2822000000
corporation Inc,Patricia Cook,1-499-413-6799,₹3876100000
corporation Corp,Tim Bezos,1-811-278-7422,₹3925900000
corporation ,John Martin,1-925-966-7274,₹531200000
corporation ,Patricia Musk,1-443-704-8256,₹788500000
corporation ,Jennifer Gonzalez,1-386-369-1378,₹2382100000
corporation LLC,Susan Bezos,1-512-584-7753,₹3851200000
corporation ,Thomas Wilson,1-363-946-9236,₹1776200000
corporation ,Susan Miller,1-468-801-7546,₹1626800000
corporation ,Elizabeth Miller,1-730-659-5821,₹3278500000
corporation Ltd,James Bezos,1-454-345-5340,₹3768200000
corporation Inc,John Martinez,1-867-240-3115,₹2398700000
corporation Inc,Thomas Dimon,1-642-833-9526,₹2780500000
corporation ,James Dimon,1-516-502-7284,₹2805400000
corporation LLC,John Hernandez,1-405-706-4732,₹3917600000
corporation LLC,Elon Brown,1-490-356-2687,₹1211800000
corporation Corp,Jennifer Moore,1-772-833-8255,₹2772200000
corporation Corp,Barbara Cook,1-969-524-1828,₹473100000
corporation LLC,Jeff Moore,1-493-262-6694,₹2390400000
corporation ,Linda Brown,1-436-868-8965,₹1186900000
corporation ,Elizabeth Rodriguez,1-964-400-2761,₹614200000
corporation ,Thomas Jones,1-904-929-7931,₹2863500000
corporation Corp,Thomas Johnson,1-744-429-2637,₹3975700000
corporation Corp,Michael Wilson,1-841-837-5420,₹2290800000
corporation LLC,Mary Rodriguez,1-850-887-8252,₹2033500000
corporation Corp,Jessica Martinez,1-985-534-1161,₹2647700000
corporation Corp,Barbara Cook,1-508-794-4687,₹3004600000
corporation LLC,Elizabeth Taylor,1-866-262-3889,₹3427900000
corporation LLC,Mary Cook,1-946-699-5732,₹1286500000
corporation ,Jennifer Moore,1-295-870-6207,₹2954800000
corporation Ltd,David Davis,1-493-346-7113,₹2083300000
corporation Inc,Jennifer Davis,1-900-963-3577,₹3303400000
corporation ,Joseph Garcia,1-529-265-4934,₹2855200000
corporation Corp,James Martinez,1-393-473-4762,₹796800000
corporation Corp,Karen Musk,1-994-288-6597,₹1477400000
corporation Inc,William Brown,1-587-543-9319,₹2689200000
corporation Corp,Jessica Davis,1-948-321-1421,₹1402700000
corporation ,John Martin,1-234-418-3537,₹2257600000
